codigo_modular,codigo_de_institucion,nombre_de_ie,nivel_modalidad,tipo_de_gestion,dependencia,direccion_de_ie,alumnos,docentes,secciones,geolocation,departamento,provincia,distrito
3920798,,ANGELES DE MARIA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,VILLA SUREÑA 2,12.0,0.0,1.0,"-16.9942,-72.0609",Arequipa,Islay,Islay
3935563,,ANGELITOS DE DIOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE MARIANO MELGAR MZ W LOTE 6,16.0,0.0,2.0,"-16.9920,-72.0644",Arequipa,Islay,Islay
1764372,24378047.0,VEN EULER,Inicial - Jardín,Privada,Particular,CALLE MARIANO MELGAR S/N,5.0,1.0,2.0,"-16.9993,-72.0567",Arequipa,Islay,Islay
1773712,22973568.0,EL BUEN PASTOR,Secundaria,Pública de gestión directa,Sector Educación,MZ B,103.0,8.0,5.0,"-17.0000,-72.0581",Arequipa,Islay,Islay
3988138,,GOTITAS DE AMOR,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ D LOTE 7,12.0,0.0,2.0,"-16.9969,-72.0582",Arequipa,Islay,Islay
313718,22976796.0,40494 JOSE ABELARDO QUIÑONES,Primaria,Pública de gestión directa,Sector Educación,CALLE TAMBO S/N,148.0,8.0,7.0,"-16.9996,-72.0636",Arequipa,Islay,Mejia
617548,22976796.0,40494 JOSE ABELARDO QUIÑONES,Secundaria,Pública de gestión directa,Sector Educación,CALLE TAMBO S/N,142.0,19.0,8.0,"-16.9958,-72.0579",Arequipa,Islay,Mejia
766659,22297899.0,SAN JOSE,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE BOLIVAR S/N,39.0,3.0,3.0,"-16.9910,-72.0598",Arequipa,Islay,Mejia
3996431,,LAS GAVIOTAS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE UPIS JOSE CARLOS MARIATEGUI MZ J LOTE 9,13.0,0.0,2.0,"-16.9960,-72.0611",Arequipa,Islay,Mejia
225334,22298399.0,NUESTRA SEÑORA DE LA MEDALLA MILAGROSA,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA ERNESTO OLAZABAL S/N,77.0,6.0,6.0,"-17.1681,-71.7925",Arequipa,Islay,Punta de Bombón
287821,26465370.0,41049 EVERARDO ZAPATA SANTILLANA,Primaria,Pública de gestión directa,Sector Educación,CALLE OLAZABAL S/N,238.0,16.0,12.0,"-17.1725,-71.7945",Arequipa,Islay,Punta de Bombón
308346,26465370.0,41049 EVERARDO ZAPATA SANTILLANA,Básica Alternativa - Inicial e Intermedio,Pública de gestión directa,Sector Educación,CALLE OLAZABAL S/N,16.0,1.0,4.0,"-17.1760,-71.7895",Arequipa,Islay,Punta de Bombón
309484,22297635.0,VICTOR MANUEL TORRES CACERES,Secundaria,Pública de gestión directa,Sector Educación,CALLE VICTOR LIRA S/N,458.0,38.0,19.0,"-17.1717,-71.7887",Arequipa,Islay,Punta de Bombón
313676,22976877.0,40488 ERNESTO DE OLAZABAL LLOSA,Primaria,Pública de gestión directa,Sector Educación,CALLE PIZARRO S/N,181.0,10.0,8.0,"-17.1756,-71.7976",Arequipa,Islay,Punta de Bombón
313692,24630242.0,40490 SEÑOR DE LOS DESAMPARADOS,Primaria,Pública de gestión directa,Sector Educación,AVENIDA OLAZABAL DE RIVERO S/N,151.0,8.0,6.0,"-17.1727,-71.7927",Arequipa,Islay,Punta de Bombón
313825,22282948.0,40505,Primaria,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN S/N,17.0,2.0,6.0,"-17.1723,-71.7931",Arequipa,Islay,Punta de Bombón
477570,22282867.0,40506 EDUARDO LOPEZ DE ROMAÑA,Primaria,Pública de gestión directa,Sector Educación,CALLE MIGUEL GRAU S/N,3.0,1.0,3.0,"-17.1687,-71.7980",Arequipa,Islay,Punta de Bombón
898304,26268443.0,SAN RAFAEL,Inicial - Jardín,Privada,Particular,CALLE SAN MARTIN 101,7.0,1.0,3.0,"-17.1741,-71.7935",Arequipa,Islay,Punta de Bombón
898338,26268443.0,SAN RAFAEL,Primaria,Privada,Particular,CALLE SAN MARTIN 101,56.0,6.0,6.0,"-17.1754,-71.7914",Arequipa,Islay,Punta de Bombón
1344126,24991687.0,MILAGROSO NIÑO JESUS,Inicial - Jardín,Pública de gestión directa,Sector Educación,COSTANERA SUR,32.0,3.0,3.0,"-17.1669,-71.7902",Arequipa,Islay,Punta de Bombón
1492768,24630242.0,40490 SEÑOR DE LOS DESAMPARADOS,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA OLAZABAL DE RIVERO S/N,61.0,4.0,3.0,"-17.1680,-71.7944",Arequipa,Islay,Punta de Bombón
1500502,,MI MUNDO INFANTIL,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,SANTA MARIA,9.0,0.0,3.0,"-17.1755,-71.7931",Arequipa,Islay,Punta de Bombón
1621077,22976877.0,40488 ERNESTO DE OLAZABAL LLOSA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE PIZARRO S/N,94.0,3.0,3.0,"-17.1707,-71.7928",Arequipa,Islay,Punta de Bombón
55108,,ANGELITO DE LA GUARDA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,SANTA MONICA,11.0,0.0,2.0,"-17.1757,-71.7927",Arequipa,Islay,Punta de Bombón
55109,,DIVINO NIÑO,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN S/N,9.0,0.0,3.0,"-17.1756,-71.7925",Arequipa,Islay,Punta de Bombón
55112,,LUCESITAS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PIZARRO S/N,14.0,0.0,2.0,"-17.1666,-71.7964",Arequipa,Islay,Punta de Bombón
3967547,,BOMBONCITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA OLAZABAL DE RIVERO S/N,10.0,0.0,3.0,"-17.1713,-71.7965",Arequipa,Islay,Punta de Bombón
4001196,,VIRGEN DEL CARMEN,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PERU S/N,6.0,0.0,2.0,"-17.1705,-71.7926",Arequipa,Islay,Punta de Bombón
